ID;Authors;Author full names;Affiliations;Title;Year;Source Title;Type of Source Title;Source Title Abbreviation;Page Start;Page End;Cited by;Abstract;Author Keyword;Index Keyword;Language;Document Type;Type of Study;Research Type of Primary Studies;SWEBOK;Study goal and contribution;Study review;SE area;Observations
SCP0525;"Zhang X.; Wen Q.; Zhu F.";"Zhang, Xiufeng (37092283100); Wen, Qiaoyan (7006468768); Zhu, Fuchen (8940216000)";"Beijing University of Posts and Telecommunications, 100876, Beijing, China; National Laboratory for Modern Communications, Chengdu, 610041, Sichuan, China";Object-oriented quantum cryptography simulation model;2007;International Conference on Natural Computation  ;Science;Proc Int Conf Natural Comput, ICNC;599;602;6;Quantum computation simulation has been a hot research topic recently and a few softwares used in research have been developed. Compared with these existed softwares and their approaches, this paper proposes an object oriented quantum cryptography simulation model. Furthermore, we also firstly integrate classical cryptography algorithms into this model. Finally, the advantages and disadvantages of this model over other simulation approaches are given. © 2007 IEEE.;;"Computer simulation; Mathematical models; Quantum cryptography; Software engineering; Classical cryptography algorithms; Simulation models; Object oriented programming";English;Conference Paper;Primary Study;Proposal of solution;Software Engineering Models and Methods;"O artigo propõe um modelo de simulação de criptografia quântica baseado em orientação a objetos. Com o intuito de superar limitações das abordagens existentes, o trabalho estrutura um modelo em camadas que permite simular algoritmos de criptografia clássica e quântica de forma integrada. A proposta foca na flexibilidade, extensibilidade e facilidade de desenvolvimento, com base nos princípios da engenharia de software orientada a objetos.

As principais contribuições incluem o desenvolvimento de uma arquitetura em cinco camadas que separa responsabilidades entre interface gráfica, configuração, algoritmos, implementação e interfaces centrais. O modelo proposto suporta tanto algoritmos quânticos como o de Shor, quanto algoritmos clássicos como RSA e DES, além de oferecer suporte à análise de parâmetros como entropia de emaranhamento e fidelidade. A abordagem orientada a objetos promove maior modularidade, testabilidade e evolução do sistema, estabelecendo uma base sólida para futuros frameworks de simulação em computação quântica.";As principais contribuições incluem o desenvolvimento de uma arquitetura em cinco camadas que separa responsabilidades entre interface gráfica, configuração, algoritmos, implementação e interfaces centrais.;﻿Object-oriented quantum model;
SCP0279;"Khan A.A.; Akbar M.A.; Lahtinen V.; Paavola M.; Niazi M.; Alatawi M.N.; Alotaibi S.D.";"Khan, Arif Ali (26434399300); Akbar, Muhammad Azeem (57200183503); Lahtinen, Valtteri (55566985100); Paavola, Marko (9735830500); Niazi, Mahmood (14045585000); Alatawi, Mohammed Naif (57539836100); Alotaibi, Shoayee Dlaim (57658309600)";"M3S Empirical Software Engineering Research Unit, University of Oulu, Oulu, 90014, Finland; Software Engineering Department, Lappeenranta-Lahti University of Technology, Lappeenranta, 53851, Finland; Quanscient Oy, Tampere, Finland; VTT Technical Research Ctr of Finland Ltd, Oulu, Finland; Department of Information and Computer Science, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia; Interdisciplinary Research Centre for Intelligent Secure Systems, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia; Information Technology Department, Faculty of Computers and Information Technology, University of Tabuk, Tabuk, Saudi Arabia; Department of Artificial Intelligence and Data Science, College of Computer Science and Engineering, University of Hail, Hail, Saudi Arabia";Agile meets quantum: a novel genetic algorithm model for predicting the success of quantum software development project;2024;Automated Software Engineering;Software Engineering;ASE Journal;0;0;0;Quantum software systems represent a new realm in software engineering, utilizing quantum bits (Qubits) and quantum gates (Qgates) to solve the complex problems more efficiently than classical counterparts. Agile software development approaches are considered to address many inherent challenges in quantum software development, but their effective integration remains unexplored. This study investigates key causes of challenges that could hinders the adoption of traditional agile approaches in quantum software projects and develop an Agile-Quantum Software Project Success Prediction Model (AQSSPM). Firstly, we identified 19 causes of challenging factors discussed in our previous study, which are potentially impacting agile-quantum project success. Secondly, a survey was conducted to collect expert opinions on these causes and applied Genetic Algorithm (GA) with Naive Bayes Classifier (NBC) and Logistic Regression (LR) to develop the AQSSPM. Utilizing GA with NBC, project success probability improved from 53.17 to 99.68%, with cost reductions from 0.463 to 0.403%. Similarly, GA with LR increased success rates from 55.52 to 98.99%, and costs decreased from 0.496 to 0.409% after 100 iterations. Both methods result showed a strong positive correlation (rs = 0.955) in causes ranking, with no significant difference between them (t = 1.195, p = 0.240 > 0.05). The AQSSPM highlights critical focus areas for efficiently and successfully implementing agile-quantum projects considering the cost factor of a particular project. © The Author(s) 2024.;"Agile approaches; Prediction model; Quantum software development";"Barium compounds; Cost reduction; Forecasting; Learning systems; Logistic regression; Quantum theory; Software design; Agile approaches; Algorithm model; Logistics regressions; Naive Bayes classifiers; Novel genetic algorithm; Prediction modelling; Project success; Quantum software development; Software development projects; Software project; Genetic algorithms";English;Article;Primary Study;Evaluation research;Software Engineering Management;"O artigo tem como objetivo investigar a aplicabilidade de práticas ágeis no desenvolvimento de software quântico, por meio de um estudo de caso real em que uma equipe de desenvolvimento utilizou métodos ágeis para construir um sistema híbrido envolvendo componentes clássicos e quânticos. A pesquisa busca entender como conceitos como Scrum, sprints e reuniões diárias se comportam diante das particularidades e desafios impostos pela computação quântica.

Como contribuição, o estudo revela que práticas ágeis podem ser parcialmente aplicadas ao desenvolvimento quântico, especialmente em relação à organização do trabalho e à comunicação da equipe, mas enfrentam limitações quando confrontadas com o alto nível de incerteza e instabilidade tecnológica da área. O artigo também oferece recomendações práticas para adaptar processos ágeis ao contexto quântico, como a necessidade de maior flexibilidade nos ciclos de entrega e a incorporação de fases de aprendizado e experimentação nos sprints. A pesquisa contribui para preencher uma lacuna na literatura ao conectar metodologias ágeis com os desafios emergentes da engenharia de software quântica.";O estudo revela que práticas ágeis podem ser parcialmente aplicadas ao desenvolvimento quântico, especialmente em relação à organização do trabalho e à comunicação da equipe, mas enfrentam limitações quando confrontadas com o alto nível de incerteza e instabilidade tecnológica da área. ;Quantum agile software development process;
SCP0024;"Khan A.A.; Akbar M.A.; Ahmad A.; Fahmideh M.; Shameem M.; Lahtinen V.; Waseem M.; Mikkonen T.";"Khan, Arif Ali (26434399300); Akbar, Muhammad Azeem (57200183503); Ahmad, Aakash (36760479100); Fahmideh, Mahdi (43061009500); Shameem, Mohammad (57188991787); Lahtinen, Valtteri (55566985100); Waseem, Muhammad (57189504629); Mikkonen, Tommi (57220096141)";"University of Oulu, M3S Empirical Software Engineering Research Unit, Oulu, Finland; Lut University, Department of Software Engineering, Lappeenranta, Finland; Lancaster University Leipzig, School of Computing and Communications, Germany; School of Business at University of Southern Queensland, Queensland, Australia; Koneru Lakshmaiah Education Foundation, Department of Cse, Andhra Pradesh, Guntur, India; Quanscient Oy, Tampere, Finland; University of Jyvaskyla, Faculty of Information Technology, Finland";Agile Practices for Quantum Software Development: Practitioners' Perspectives;2023;International Conference on Quantum Software;Quantum Software Engineering;QSW;9;20;12;Quantum software engineering is an emerging genre of software engineering that exploit principles of quantum bits (Qubit) and quantum gates (Qgates) to solve complex computing problems effeciently than their classical counterparts. According to its proponents, agile software development practices have the potential to address many of the problems endemic to the development of quantum software. However, there is a dearth of evidence investigating whether agile practices are suitable for, and can be adopted by, software teams in the context of quantum software development. To address this lack, we conducted an empirical study to investigate the needs and challenges of using agile practices to develop quantum software. While our semi-structured interviews with 26 practitioners across 10 countries highlighted the applicability of agile practices in this domain, the interview findings also revealed new challenges impeding the effective incorporation of these practices. Our research findings provide a springboard for further contextualization and seamless integration of agile practices in quantum software engineering (QSE) to develop emerging and next generation of quantum software systems and application. © 2023 IEEE.;"Agile Practices; Empirical Software Engineering; Quantum Software Engineering";"Application programs; Quantum theory; Agile practices; Agile software development; Classical counterpart; Complex computing; Empirical Software Engineering; Empirical studies; Quantum gates; Quantum software engineering; Software development practices; Software teams; Software design";English;Conference Paper;Primary Study;Evaluation research;Software Engineering Process;"O artigo tem como objetivo investigar em que medida as práticas ágeis de desenvolvimento de software podem ser aplicadas ao contexto da computação quântica. Os autores buscaram compreender os desafios específicos do desenvolvimento de software quântico e avaliar a viabilidade da adaptação de práticas como integração contínua, desenvolvimento orientado a testes e entrega incremental, considerando as restrições impostas pelas tecnologias e plataformas quânticas emergentes.

Como contribuição, o estudo apresenta uma análise de compatibilidade entre práticas ágeis e o ciclo de vida do desenvolvimento de software quântico, identificando quais práticas são diretamente aplicáveis, quais requerem adaptação e quais ainda são inviáveis. A partir de estudos de caso e entrevistas com desenvolvedores, os autores propõem uma taxonomia de práticas ágeis para QSE e destacam que práticas como pair programming, reuniões diárias e entregas incrementais podem promover melhor colaboração entre especialistas quânticos e desenvolvedores tradicionais. O trabalho também aponta limitações significativas, como a dificuldade de aplicar testes automatizados em hardware quântico e os altos tempos de execução em ambientes reais, sugerindo que o uso de simuladores e ambientes híbridos pode ser uma estratégia intermediária eficaz.";O artigo apresenta uma taxonomia de práticas ágeis para QSE com base nos resultados de estudos de caso e entrevistas com desenvolvedores.;Quantum agile software development process;
SCP0310;"Marchesi L.; Marchesi M.; Tonelli R.";"Marchesi, Lodovica (57202705397); Marchesi, Michele (7005947166); Tonelli, Roberto (7004058057)";"Department of Mathematics and Computer Science University of Cagliari, CA, Cagliari, 09124, Italy; Netservice spa, Galleria Guglielmo Marconi, 2, BO, Bologna, 40122, Italy";A survey on Cryptoagility and Agile Practices in the light of quantum resistance;2025;Information and Software Technology;Software Engineering;INFSOF;0;0;0;"Context: Crypto-agility, a name that stems from agile methodologies for software development, means the ability to modify quickly and securely cryptographic algorithms in the event of a compromise. The advent of quantum computing poses existential threats to current cryptography, having the power to breach current cryptography systems. Objective: We investigated whether and to what extent agile practices for software development are suited to support crypto-agility, or not. In particular, we discuss their usefulness in the context of substituting current algorithms with quantum-resistant ones. Method: First, we analyzed the literature to define a subset of 15 agile practices potentially relevant to cryptographic software development. Then, we developed a questionnaire to assess the suitability of agile practices for obtaining crypto-agility. We performed a Web search of relevant documents about crypto-agility and quantum resistance and sent their authors the questionnaire. We also sent the questionnaire to cybersecurity officers of four Italian firms. We analyzed and discussed the responses to 32 valid questionnaires. Results: The respondents’ affiliations are evenly distributed between researchers and developers. Most of them are active, or somehow active, in quantum-resistant cryptography and use agile methods. Most of the agile practices are deemed to be quite useful, or very useful to get crypto-agility, the most effective being Continuous Integration and Coding Standards; the least appreciated is Self-organizing Team. Conclusion: According to researchers and developers working in the field, the safe transition of cryptographic algorithms to quantum-resistant ones can benefit from the adoption of many agile practices. Further software engineering research is needed to integrate agile practices in more formal cryptographic software development processes. © 2024 The Authors";"Agile methods; Cryptographic agility; Cryptographic algorithms; Quantum resistance";"Software design; 'current; Agile Methodologies; Agile methods; Agile practices; Cryptographic agility; Cryptographic algorithms; Cryptographic software; CryptoGraphics; Quantum Computing; Quantum resistance; Quantum cryptography";English;Article;Primary Study;Evaluation research;Software Engineering Process;"O artigo tem como objetivo investigar como práticas ágeis e o conceito de criptoagilidade podem ser aplicados para fortalecer sistemas de software frente às ameaças impostas pela computação quântica. A pesquisa se propõe a compreender a interseção entre métodos ágeis e resistência quântica, analisando como organizações podem adaptar seus processos para integrar mecanismos criptográficos pós-quânticos de maneira rápida, segura e contínua ao longo do ciclo de vida do software.

Como principais contribuições, o estudo oferece uma revisão sistemática da literatura sobre criptoagilidade e práticas ágeis no contexto de segurança quântica, além de propor uma estrutura conceitual que conecta os dois domínios. Os autores destacam a importância de práticas iterativas e de resposta rápida para lidar com a rápida evolução das ameaças quânticas e apresentam diretrizes que ajudam organizações a incorporar algoritmos resistentes a ataques quânticos de forma incremental. A pesquisa também identifica lacunas e oportunidades para futuras investigações sobre integração entre segurança quântica e desenvolvimento ágil.";O artigo tem como objetivo investigar como práticas ágeis e o conceito de criptoagilidade podem ser aplicados para fortalecer sistemas de software frente às ameaças impostas pela computação quântica. ;Quantum agile software development process;
SCP0390;"De Vincentiis M.; Cassano F.; Pagano A.; Piccinno A.";"De Vincentiis, Mirko (57991605400); Cassano, Fabio (56913127100); Pagano, Alessandro (57196796641); Piccinno, Antonio (36476592000)";University of Bari, Italy;QAI4ASE: Quantum artificial intelligence for automotive software engineering;2022;International Workshop on Quantum Programming for Software Engineering;Quantum Software Engineering;QP4SE;19;21;10;Nowadays, the size and complexity of the automotive development life-cycle increase the possibility of cyber-attacks. In this context, team developers play a primary role in managing cyber security, risk assessment, and all phases of software application development (concept phases, product development, cyber security validation, production, operations, and maintenance). Currently, only generic standards exist and they are difficult to put into operation due to the lack of the required skills and knowledge. Therefore, this paper presents a vision model based on Quantum Artificial Intelligence that supports developers' decisions to integrate concrete design methods in the automotive development life-cycle. Organizations need to develop their process for developing vehicle components that comply with the new automotive standards. We suggest the usage of existing data sources (e.g., existing taxonomies) on Quantum Artificial Intelligence algorithms to suggest the best way, or the correct steps, to follow time by time to achieve user solutions.  © 2022 ACM.;"Artificial Intelligence; Quantum Computing; Software Engineering";"Application programs; Artificial intelligence; Life cycle; Network security; Quantum computers; Risk assessment; All phase; Application development; Assessment phase; Automotive development; Automotive software; Cyber security; Cyber-attacks; Quantum Computing; Security risk assessments; Software applications; Cybersecurity";English;Conference Paper;Primary Study;Proposal of solution;Software Engineering Models and Methods;"O artigo tem como objetivo apresentar um modelo de visão chamado QAI4ASE (Quantum Artificial Intelligence for Automotive Software Engineering), cuja finalidade é apoiar o desenvolvimento de software automotivo em conformidade com padrões de segurança como o ISO/SAE 21434. A proposta busca integrar inteligência artificial quântica ao ciclo de vida do desenvolvimento de software automotivo para auxiliar desenvolvedores na tomada de decisão e na verificação de conformidade com normas de cibersegurança, enfrentando a complexidade e a ausência de diretrizes práticas presentes nesses padrões.

A principal contribuição do artigo é a proposição do modelo QAI4ASE, que utiliza algoritmos de aprendizado de máquina quântica para recomendar, em tempo real, os passos mais adequados no processo de desenvolvimento de software automotivo seguro. O modelo é baseado no treinamento de IA quântica com dados extraídos de taxonomias e regras derivadas das normas de segurança, oferecendo sugestões contextuais aos desenvolvedores por meio de interfaces gráficas e sobreposições de sugestões. O trabalho também discute possíveis abordagens para o treinamento desses modelos e sugere futuras aplicações práticas e extensões para outros padrões como o Automotive SPICE.";O artigo tem como objetivo apresentar um modelo de visão chamado QAI4ASE (Quantum Artificial Intelligence for Automotive Software Engineering), cuja finalidade é apoiar o desenvolvimento de software automotivo em conformidade com padrões de segurança como o ISO/SAE 21434.;Quantum Artificial Intelligence for Automotive Software Engineering;
SCP0054;"Usaola M.P.; De Guzmán I.G.-R.; Serrano M.Á.; Piattini M.";"Usaola, Macario Polo (58291448600); De Guzmán, Ignacio García-Rodríguez (6602985950); Serrano, Manuel Ángel (7201394131); Piattini, Mario (7004203473)";Institute of Technologies and Information Systems, University of Castilla-La Mancha, Ciudad Real, Spain;Generating Quantum Software from Truth Tables;2024;International Conference on Quantum Computing and Engineering;Quantum Computing and/or Information;QCE;223;227;0;Quantum computing promises significant advancements over classical computing by enabling exponential speedups for specific problems. Despite its potential, quantum software development remains challenging due to its complexity, cost, and susceptibility to errors. Aligned with the novel paradigm of Quantum Software Engineering (QSE), this paper introduces a tool designed to automate the generation of quantum software components from truth tables. The tool simplifies the development process by allowing users to specify expected output values for given inputs, which the tool then translates into the corresponding quantum code. This approach reduces the manual effort required and helps ensure accuracy in quantum program development. Our method not only streamlines quantum software generation but also optimizes the resulting quantum circuits by minimizing unnecessary computations. The paper provides a detailed overview of the algorithm, tool implementation, and potential applications, highlighting the tool's efficacy in facilitating more efficient quantum software development. © 2024 IEEE.;"Automatic Software Generation; Quantum Computing; Quantum Software Engineering; Quantum Software Generation; Truth Tables";"Application programs; Computer aided software engineering; Cost engineering; Quantum efficiency; Quantum electronics; Quantum optics; Software design; Automatic software generation; Classical computing; Exponentials; Quantum Computing; Quantum software engineering; Quantum software generation; Software generation; Specific problems; Truth tables; Quantum computers";English;Conference Paper;Primary Study;Proposal of solution;Software Construction;"O artigo tem como objetivo propor uma abordagem automatizada para a geração de componentes de software quântico a partir de tabelas verdade. Visando reduzir a complexidade e o esforço manual envolvidos na codificação de programas quânticos, os autores apresentam uma ferramenta que permite aos desenvolvedores especificar comportamentos esperados por meio de tabelas verdade, as quais são automaticamente transformadas em circuitos quânticos otimizados. A proposta se alinha à disciplina emergente da Engenharia de Software Quântica, promovendo o aumento do nível de abstração e a independência de linguagem.

Como contribuição, o estudo desenvolve uma ferramenta web que gera circuitos quânticos reversíveis baseados em portas lógicas como Toffoli e CNOT, aplicando algoritmos que minimizam o número de operações e a complexidade do circuito. A ferramenta aceita expressões em JavaScript para descrever saídas, suporta estratégias de otimização por redução da tabela verdade e oferece flexibilidade na definição de relações entre qubits de entrada e saída. Além de facilitar o desenvolvimento seguro e eficiente de software quântico, o trabalho reforça princípios fundamentais da Engenharia de Software Quântica, como abstração, agnosticismo tecnológico e suporte à geração automatizada de código.";O artigo tem como objetivo propor uma abordagem automatizada para a geração de componentes de software quântico a partir de tabelas verdade. ;Quantum circuit generation;
SCP0067;"Gemeinhardt F.; Eisenberg M.; Klikovits S.; Wimmer M.";"Gemeinhardt, Felix (57226305018); Eisenberg, Martin (57425527800); Klikovits, Stefan (56938716700); Wimmer, Manuel (14030698000)";Institute of Business Informatics - Software Engineering, Johannes Kepler University Linz, Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Austria;Model-Driven Optimization for Quantum Program Synthesis with MOMoT;2023;International Conference on Model Driven Engineering Languages and Systems Companion  ;Software Engineering;Proc. - ACM/IEEE Int. Conf. Model Driven Eng. Lang. Syst. Companion, MODELS-C;614;621;2;In the realm of classical software engineering, model-driven optimization has been widely used for different problems such as (re)modularization of software systems. In this paper, we investigate how techniques from model-driven optimization can be applied in the context of quantum software engineering. In quantum computing, creating executable quantum programs is a highly non-trivial task which requires significant expert knowledge in quantum information theory and linear algebra. Although different approaches for automated quantum program synthesis exist - e.g., based on reinforcement learning and genetic programming - these approaches represent tailor-made solutions requiring dedicated encodings for quantum programs. This paper applies the existing model-driven optimization approach MOMoT to the problem of quantum program synthesis. We present the resulting platform for experimenting with quantum program synthesis and present a concrete demonstration for a well-known Quantum algorithm.  © 2023 IEEE.;"Model-Driven Optimization; Quantum Circuit Synthesis; Quantum Software Engineering";"Computation theory; Genetic algorithms; Information theory; Linear algebra; Modular construction; Quantum computers; Quantum optics; Reinforcement learning; Software engineering; Timing circuits; Circuit synthesis; Model-driven optimization; Modularizations; Program synthesis; Quantum circuit; Quantum circuit synthesis; Quantum Computing; Quantum software engineering; Software engineering model; Software-systems; Genetic programming";English;Conference Paper;Primary Study;Proposal of solution;Software Design;Focar na otimização de circuitos quânticos através da aplicação e melhoria de um programa genético multi-objetivo. O trabalho futuro visa explorar regras de transformação e algoritmos de busca, além de definir transformações de SDKs quânticos para a representação genérica do modelo.;Focar na otimização de circuitos quânticos através da aplicação e melhoria de um programa genético multi-objetivo. O trabalho futuro visa explorar regras de transformação e algoritmos de busca, além de definir transformações de SDKs quânticos para a representação genérica do modelo.;Quantum circuit optimization;
SCP0072;"Gemeinhardt F.; Klikovits S.; Wimmer M.";"Gemeinhardt, Felix (57226305018); Klikovits, Stefan (56938716700); Wimmer, Manuel (14030698000)";Johannes Kepler University Linz, Institute for Business Informatics – Software Engineering, Altenberger Strasse 69, Linz, 4040, Austria;GeQuPI: Quantum Program Improvement with Multi-Objective Genetic Programming;2025;Journal of Systems and Software;Software Engineering;JSS;0;0;0;Processing quantum information poses novel challenges regarding the debugging of faulty quantum programs. Notably, the lack of accessible information on intermediate states during quantum processing, renders traditional debugging techniques infeasible. Moreover, even correct quantum programs might not be processable, as current quantum computers are limited in computation capacity. Thus, quantum program developers have to consider trade-offs between accuracy (i.e., probabilistically correct functionality) and computational cost of the proposed solutions. Manually finding sufficiently accurate and efficient solutions is a challenging task, even for quantum computing experts. To tackle these challenges, we propose a quantum program improvement framework for an automated generation of accurate and efficient solutions, coined Genetic Quantum Program Improver (GeQuPI). In particular, we focus on the tasks of debugging and optimization of quantum programs. Our framework uses techniques from quantum information theory and applies multi-objective genetic programming, which can be further hybridized with quantum-aware optimizers. To demonstrate the benefits of GeQuPI, it is applied to 47 quantum programs reused from literature and openly published libraries. The results show that our approach is capable of correcting faulty programs and optimize inefficient ones for the majority of the studied cases, showing average optimizations of 35% with respect to computational cost. © 2024 The Authors;"Evolutionary algorithms; Quantum circuit optimization; Quantum computing; Quantum software engineering";"Computer debugging; Genetic programming; Program debugging; Quantum efficiency; Quantum electronics; Quantum optics; Accessible information; Circuit optimization; Computational costs; Multi objective; Optimisations; Quantum circuit; Quantum circuit optimization; Quantum Computing; Quantum Information; Quantum software engineering; Quantum computers";English;Article;Primary Study;Evaluation research;Software Design;Apresentar o GeQuPI e focar na Melhoria e otimização de Programas Quânticos, especialmente no reparo de falhas no processamento de informações quânticas. O trabalho busca responder a RQs sobre como as configurações de busca e considerações específicas de hardware afetam os resultados.;Otimização de circuitos quânticos;Quantum circuit optimization;
SCP0068;"Häner T.; Steiger D.S.; Svore K.; Troyer M.";"Häner, Thomas (57193862888); Steiger, Damian S. (57000172600); Svore, Krysta (55898617400); Troyer, Matthias (7004750165)";"Theoretische Physik, ETH Zurich, Zurich, 8093, Switzerland; Quantum Architectures and Computation Group, Microsoft Research, Redmond, WA, United States; Microsoft Research Station Q, Santa Barbara, CA, United States";A software methodology for compiling quantum programs;2018;Quantum Science and Technology;Quantum Computing and/or Information;QST;0;0;106;Quantum computers promise to transform our notions of computation by offering a completely new paradigm. To achieve scalable quantum computation, optimizing compilers and a corresponding software design flow will be essential. We present a software architecture for compiling quantum programs from a high-level language program to hardware-specific instructions. We describe the necessary layers of abstraction and their differences and similarities to classical layers of a computer-aided design flow. For each layer of the stack, we discuss the underlying methods for compilation and optimization. Our software methodology facilitates more rapid innovation among quantum algorithm designers, quantum hardware engineers, and experimentalists. It enables scalable compilation of complex quantum algorithms and can be targeted to any specific quantum hardware implementation. © 2018 IOP Publishing Ltd.;"quantum compiler; quantum computing; quantum programming language";"Computer aided design; Computer hardware; High level languages; Quantum computers; Quantum theory; Software design; Hardware implementations; Optimizing compilers; Quantum algorithms; quantum compiler; Quantum Computing; Quantum programming languages; Software methodologies; Specific instruction; Program compilers";English;Article;Primary Study;Proposal of solution;Software Construction;"O artigo tem como objetivo apresentar uma metodologia de software para a compilação de programas quânticos que integra abstrações de alto nível, análise formal e transformações de código, visando facilitar o desenvolvimento de software confiável e eficiente para computadores quânticos. A proposta parte da necessidade de criar fluxos de trabalho estruturados que separem claramente as fases de desenvolvimento, otimização e compilação, com suporte a verificações formais desde os níveis mais abstratos até a geração do código final.

Como contribuição, o estudo introduz um compilador quântico estruturado em múltiplas camadas, que transforma programas descritos em uma linguagem funcional de alto nível em circuitos quânticos otimizados e verificáveis. A metodologia inclui a definição de representações intermediárias, aplicação de regras formais de transformação e geração de código compatível com plataformas como IBM Qiskit. Além disso, o trabalho demonstra a viabilidade da abordagem por meio de exemplos práticos e reforça a importância da integração entre engenharia de software, linguagens formais e compilação no avanço da computação quântica.";O artigo tem como objetivo apresentar uma metodologia de software para a compilação de programas quânticos que integra abstrações de alto nível, análise formal e transformações de código, visando facilitar o desenvolvimento de software confiável e eficiente para computadores quânticos. ;Quantum code abstraction;
SCP0065;"Bisicchia G.; García-Alonso J.; Murillo J.M.; Brogi A.";"Bisicchia, Giuseppe (57225906269); García-Alonso, Jose (55892225800); Murillo, Juan M. (8687210000); Brogi, Antonio (57193752782)";"Department of Computer Science, University of Pisa, Pisa, Italy; Quercus Software Engineering Group, University of Extremadura, Cáceres, Spain";From Quantum Software Handcrafting to Quantum Software Engineering;2024;International Conference on Software Analysis, Evolution and Reengineering ;Software Engineering;SANER;149;150;0;Quantum Computing holds the potential to change our world. Following the quantum wave, software engineers have recognised the opportunity to establish a new discipline of Quantum Software Engineering. Despite the significant progress achieved, Quantum Computing’s widespread adoption still faces critical hurdles. In this paper, we outline two of these challenges. (1) Quantum programming continues to be a complex art mastered by a select few experts. We suggest that the primary culprit can be pinpointed in the absence of high-level quantum software abstractions which forces developers to work with low-level quantum concepts and reason in terms of matrix multiplications. (2) The scarce collaboration among quantum software engineers resulted in a lack of platform and software interoperability. While a diversity of research proposals fuels scientific progress, it can hinder the development and adoption of innovative technologies, potentially fragmenting the collective efforts and confining them within isolated research groups. We believe that overcoming these issues is crucial for fostering innovation, advancing Quantum Software Engineering, and Quantum Computing as a whole. ©2024 IEEE.;"Quantum Abstractions; Quantum Computing; Quantum Software Engineering; Software Engineering";"Computer aided software engineering; Quantum electronics; MAtrix multiplication; Quantum abstraction; Quantum Computing; Quantum programming; Quantum software engineering; Quantum waves; Research proposals; Scientific progress; Software abstractions; Software interoperability; Quantum computers";English;Conference Paper;Primary Study;Opinion papers;The Software Engineering in General;"O artigo tem como objetivo discutir os principais entraves que ainda limitam a adoção ampla da computação quântica, defendendo a necessidade urgente de transição da programação artesanal para uma engenharia de software quântica estruturada. Os autores destacam duas barreiras principais: a ausência de abstrações de alto nível que obrigam os desenvolvedores a trabalhar com conceitos de baixo nível, como portas e qubits, e a fragmentação dos esforços de pesquisa, que dificulta a interoperabilidade entre tecnologias quânticas.

Como contribuição, o artigo propõe dois caminhos para superar esses desafios. O primeiro é o desenvolvimento de abstrações verdadeiramente quânticas em linguagens de alto nível que permitam aos desenvolvedores raciocinar diretamente com conceitos como superposição e entrelaçamento, sem depender da manipulação de matrizes. O segundo é a criação de provedores quânticos virtuais (VQPs) e pipelines multi-stack para permitir a interoperabilidade entre diferentes SDKs, compiladores e plataformas de hardware quântico. Essas estratégias visam fomentar a padronização, aumentar a reutilização e tornar a engenharia de software quântica mais acessível, escalável e produtiva.";O artigo tem como objetivo discutir os principais entraves que ainda limitam a adoção ampla da computação quântica, defendendo a necessidade urgente de transição da programação artesanal para uma engenharia de software quântica estruturada. ;Quantum code abstraction;2 páginas apenas
